cell_line,tissue,expression_BRAF,expression_EGFR,expression_KRAS,expression_MET,expression_NF1,expression_PIK3CA,expression_RB1,expression_STK11,expression_TP53,expression_KEAP1,mutation_BRAF,mutation_EGFR,mutation_KRAS,mutation_MET,mutation_NF1,mutation_PIK3CA,mutation_RB1,mutation_STK11,mutation_TP53,mutation_KEAP1,response_718781,response_715055,response_119875,response_125973,response_123127,response_761431,response_758246,response_779217,response_756645,response_750690
ME:LOX IMVI,ME,0.421,0.243,0.32,0.063,-0.047,1.075,0.602,1.454,-0.126,-0.864,1,0,0,0,0,0,0,,0,0,0.15,-0.58,0.85,0.47,0.82,0.25,0.98,-0.25,0.12,0.47
ME:MALME-3M,ME,2.291,-1.435,0.162,0.401,0.176,0.797,0.54,-1.164,0.207,-0.471,1,0,0,0,0,0,0,,0,0,0.79,0.12,0.69,0.13,0.65,2.88,1.05,-0.47,0.2,0.45
ME:M14,ME,0.116,-0.715,-0.429,-1.925,-0.068,1.181,0.468,-0.713,0.652,0.78,1,0,0,0,0,0,0,,1,0,0.16,-0.3,0.33,0.31,-0.03,2.34,1.05,-0.34,0,1.16
ME:SK-MEL-2,ME,1.081,-1.416,0.137,-0.209,-0.358,1.875,0.269,-0.701,-0.668,-0.776,0,0,0,0,0,0,0,,0,0,0.06,-0.82,-0.58,-0.07,-0.5,-0.37,1.05,-0.43,-0.25,-0.41
ME:SK-MEL-28,ME,-0.172,-1.353,-0.054,-0.9,-0.292,0.227,-0.044,-0.813,-0.325,-0.615,1,1,0,0,0,0,0,,1,0,-0.93,1.51,-0.5,-0.02,-0.47,2.39,1.05,-0.17,-0.02,0.24
ME:SK-MEL-5,ME,1.056,-0.413,-0.503,1.271,0.359,-0.279,-0.335,-0.17,-0.194,-1.819,1,0,0,0,0,0,0,,0,0,-0.53,0,0.02,0.38,0.55,0.86,0.95,-0.23,0.02,0.31
ME:UACC-257,ME,0.301,-1.413,-0.704,0.674,-0.23,-0.282,0.611,-0.992,-0.737,-1.484,1,0,0,0,0,0,0,,0,0,-1.36,-0.43,-0.35,-0.44,-0.1,2.24,1.05,-0.22,0.04,-0.19
ME:UACC-62,ME,-0.106,-0.452,-1.136,-1.275,-0.207,0.195,-0.974,-0.055,-0.702,-0.398,1,0,0,0,0,0,0,,0,0,0.07,-0.31,0.87,0.31,0.73,2.64,1.05,-0.31,-0.09,-0.52
ME:MDA-MB-435,ME,0.183,-1.188,-0.988,0.209,-0.389,1.901,0.174,-1.056,1.08,1.459,1,0,0,0,0,0,0,,1,0,-0.61,0.1,-0.34,0.97,-0.63,1.76,1.05,-0.17,0.76,0.31
ME:MDA-N,ME,0.227,-1.325,-1.121,0.066,-0.574,1.264,-0.132,-0.553,0.869,1.096,1,0,0,0,0,0,0,,1,0,,,-0.31,1.21,-0.63,,,,,
LC:A549/ATCC,LC,-1.712,0.371,-0.455,0.495,0.589,-2.036,-0.381,-0.722,0.815,-0.148,0,0,1,0,0,0,0,,0,1,-0.14,-0.49,-0.08,0.3,0.81,-0.27,0.62,-0.01,0.32,-0.47
LC:EKVX,LC,-0.316,0.942,-0.815,0.315,-0.098,-1.606,0.448,-0.415,-1.867,-0.906,0,0,0,0,0,0,0,,1,0,1.99,2.79,-1.03,-1.12,-1.11,-0.68,0.94,0.67,-0.92,-1.2
LC:HOP-62,LC,-0.654,0.296,1.426,0.691,1.097,0.085,-0.304,0.289,-1.755,-1.219,0,0,1,0,0,0,0,,1,0,-0.27,-0.67,0.46,-0.11,0.38,-0.71,-0.03,-1.14,-0.28,-0.16
LC:HOP-92,LC,1.513,0.547,-1.252,0.793,-1.814,0.603,0.431,-1.337,-0.629,-0.17,0,0,0,0,0,0,0,,1,0,0.32,-0.43,-0.15,-1.37,0.63,-0.11,1.05,0.59,0.77,1.37
LC:NCI-H226,LC,-0.395,1.223,-0.828,0.964,1.262,-1.563,0.525,0.778,0.919,-1.151,0,0,0,0,0,0,0,,0,0,-0.95,-0.93,-0.51,-0.91,0.78,-0.84,-1.04,-1.08,-0.41,-1.25
LC:NCI-H23,LC,1.002,-0.363,1.051,-0.411,0.947,-0.013,-0.067,-2.331,0.296,0.44,0,0,1,0,0,0,0,,1,1,-0.7,-0.97,1.39,0.25,0.05,-0.75,1.05,-1.3,-0.23,-0.08
LC:NCI-H322M,LC,-2.212,0.906,0.689,-0.088,1.037,0.099,-0.117,-0.329,0.841,1.112,0,0,0,0,1,0,0,,1,1,2.19,2.38,-0.83,0.15,-1.28,-0.46,0.99,2.17,-1.27,-0.74
LC:NCI-H460,LC,-0.855,-0.179,-0.24,-0.226,0.684,-1.364,0.157,-0.877,0.259,0.791,0,0,1,0,0,0,0,,0,1,0.12,-0.38,1.81,0.53,1.92,-0.2,-0.94,-0.48,0.56,0.14
LC:NCI-H522,LC,-1.139,-1.167,-0.929,-1.889,0.156,-0.241,-1.969,-1.414,-1.956,-0.051,0,0,0,0,0,0,0,,1,0,1.19,-0.43,0.28,0.59,0.53,-0.7,-1.01,2.18,-0.17,-0.14
OV:IGROV1,OV,-0.757,0.117,-0.458,0.686,0.191,-2.038,-0.861,0.258,0.406,-0.429,0,0,0,0,0,1,0,,0,0,1.68,1.84,0.28,0.37,0.1,-0.29,0.63,0.2,-0.8,0.19
OV:OVCAR-3,OV,-0.483,0.285,0.542,-0.552,1.658,0.01,-0.524,0.849,0.074,-0.193,0,0,0,0,0,0,0,,0,0,0.43,-0.16,0.15,0.51,-0.74,-0.74,-1.27,-0.02,-1.04,-0.39
OV:OVCAR-4,OV,0.021,0.39,-0.178,0.059,-0.965,-0.43,-0.253,-2.164,0.297,0.874,0,0,0,0,0,0,0,,0,0,-0.02,-0.55,0.61,-2.16,-0.88,-0.62,-0.31,-0.73,-0.67,-0.15
OV:OVCAR-5,OV,-0.13,1.503,2.89,0.93,0.858,0.451,0.015,1.254,-1.648,0.313,0,0,1,0,0,0,0,,0,0,0.21,-0.71,-0.44,-0.1,-1.11,-0.91,1.05,0.07,-0.31,-0.4
OV:OVCAR-8,OV,0.878,0.59,0.014,-0.415,-1.958,-0.574,-1.906,-0.31,0.576,1.014,0,0,0,0,0,0,0,,0,0,0.02,-0.71,-0.51,0.32,-0.09,-0.61,-1.04,-0.41,-0.95,-0.81
OV:SK-OV-3,OV,-1.357,0.974,1.363,0.281,0.131,-0.488,0.727,1.318,-1.91,-0.022,0,0,0,0,1,1,0,,0,0,1.43,1.13,-0.75,0.23,-0.21,-0.39,-1.28,3.82,-0.81,-0.31
OV:NCI/ADR-RES,OV,0.361,0.499,-0.424,-0.218,-2.049,-0.707,-2.719,-0.521,0.182,-0.355,0,0,0,0,0,0,0,,0,0,-0.01,-0.83,-0.22,-2.38,-4.45,-0.66,-0.83,-0.3,-1.4,-0.84
PR:PC-3,PR,0.703,0.66,-1.254,1.041,-0.318,1.138,0.247,-0.46,-1.987,0.667,0,0,0,0,0,0,0,,1,0,-0.71,0.84,-0.45,0.36,-0.7,-0.19,-1.17,-0.72,-0.26,-0.35
PR:DU-145,PR,-0.208,0.721,1.985,0.196,0.814,-0.267,-0.267,-1.356,0.78,0.591,0,0,0,0,1,0,1,,1,0,0.86,0.22,0.45,0.28,0.24,-0.56,-1.02,-0.25,-0.79,-0.04
RE:786-0,RE,-0.096,1.076,-0.526,1.003,0.191,-0.402,-0.013,0.695,-0.48,-0.531,0,0,0,0,0,0,0,,1,0,-0.08,-0.56,0.79,-0.25,0.32,-0.38,-1.02,-0.02,-0.34,-0.09
RE:A498,RE,-0.313,1.198,-1.152,1.008,-0.372,-1.295,0.349,0.615,0.103,2.071,0,0,0,0,0,0,0,,0,0,0.7,1.35,-1.11,-0.59,0.64,0.14,1.05,0.23,0.18,-0.15
RE:ACHN,RE,-0.286,1.253,0.608,0.663,0.599,-0.932,0.272,0.012,0.491,-0.677,0,0,0,0,0,0,0,,0,0,1.98,1.78,0.83,-1.86,0.18,-0.36,-0.29,1.7,-0.55,0.57
RE:CAKI-1,RE,1.132,0.385,0.397,1.075,1.078,-0.117,0.551,0.431,0.081,0.274,0,0,0,1,0,0,1,,0,0,1.57,1.84,0.41,-1.45,-0.58,-0.11,0.01,1.46,-0.75,1.02
RE:RXF 393,RE,-0.691,1.05,-1.046,0.762,-0.373,-1.346,0.558,-1.162,-0.109,0.354,0,0,0,0,0,0,0,,1,0,0.37,-0.32,-0.07,0.07,-0.01,0.08,0.4,-0.04,0.03,0.56
RE:SN12C,RE,-0.271,1.816,-0.577,0.592,0.113,-0.135,-0.211,-0.149,-0.69,-0.716,0,0,0,0,0,0,0,,1,0,0.52,-0.35,-0.61,0.28,0.39,-0.43,-0.84,-0.47,-0.26,0.22
RE:TK-10,RE,0.148,1.287,0.095,0.672,-0.825,0.341,0.245,1.058,-0.8,1.017,0,0,0,0,0,0,0,,1,0,1.99,2.23,-1,-0.82,-0.62,-0.59,0.93,3.29,-0.92,-0.62
RE:UO-31,RE,0.004,1.101,0.443,0.687,0.651,0.231,0.607,-0.469,0.746,-1.079,0,0,0,0,0,0,0,,0,0,1.23,0.66,-0.18,-1.96,-1.16,-0.59,0.15,0.88,-0.75,0.64
